year,puma,household_income__mean,household_income__median,p_renting,rent__mean,rent__median,monthly_renter_income__mean,monthly_renter_income__median,rent_to_income_mean,rent_to_income_median,mortgage_payment__mean,mortgage_payment__median,monthly_mortgager_income__mean,monthly_mortgager_income__median,mortgage_to_income_mean,mortgage_to_income_median,price__mean,price__median,price_to_income_mean,price_to_income_median
2006,3701,64717.83727851928,50000,0.6802306654885365,870.3288439187803,830,4069.8244399626265,3258.3333333333335,0.2138492352084781,0.25599999995904,1092.4076281287246,820,8942.596455215646,6333.333333333333,0.12215776856302098,0.1280683030785825,371372.1181278433,350000,5.73832707866316,7.0
2006,3702,56033.554124697184,44700,0.5676824344426027,851.4861121509321,840,3664.015185545656,2933.3333333333335,0.23239153470487764,0.2666666666074074,1745.8834061448113,1790,6607.556995870037,6066.666666666667,0.26422525106269257,0.28732394361341,398305.3647957866,450000,7.108336621114503,10.06711409395973
2006,3703,57411.433165644456,50000,0.4202329267452278,816.0216464414563,800,3891.2107794905432,3350.0,0.2097089293498241,0.22372881351381785,1575.709809382888,1500,6569.646038239476,6116.666666666667,0.23984698722142178,0.23999999996968419,339482.8289420018,350000,5.913157192270747,7.0
2006,3704,50123.705566887445,43700,0.6548483945637477,772.7760473173976,800,3144.278861745937,2750.0,0.2457721090578763,0.2490566037171947,1623.117091785499,1500,6543.815357836245,5816.666666666667,0.2480383389549355,0.2578796561161238,439297.84863886377,450000,8.764273185122834,10.297482837528603
2006,3705,27581.807609173855,18600,0.9019491574054592,613.6869340232859,600,2024.9522829936589,1341.6666666666667,0.3030624174096687,0.3065217390304821,1542.9689807976367,1200,6218.390571147219,5416.666666666667,0.2481299563197069,0.2215384614975621,298557.4162679426,350000,10.824432557083053,18.817204301075268
2006,3706,37931.10213377557,28300,0.8902819237147596,785.4002433996474,800,2896.8265363567875,2166.6666666666665,0.2711243609316735,0.30999999989666666,1207.9761446710272,1220,6713.592407336156,5833.333333333333,0.1799299199860619,0.1165714285634351,241781.93408708202,225000,6.374239620941266,7.950530035335689
2006,3707,29581.396600300526,19800,0.9392843726521413,668.3292506124081,720,2209.5723016547518,1566.6666666666667,0.30246996222386363,0.3190476188956916,3187.0048780487805,2000,10227.187804878049,7041.666666666667,0.31162084229338965,0.41783848931957907,345197.28331177233,350000,11.669404523931956,17.67676767676768
2006,3708,30568.594969154576,23100,0.9198670605612999,662.9704583559638,670,2416.1152265803953,1833.3333333333333,0.27439521553543084,0.3103448274577884,1356.0473372781064,1500,7035.305719921105,7083.333333333333,0.19274888558692418,0.22736842102391133,238849.7874350496,137500,7.813567737609871,5.9523809523809526
2006,3709,41100.55296876437,34000,0.7787144039481347,754.2481498976539,760,2852.0838745866795,2500.0,0.2644551082870796,0.2738461537618935,1556.9178082191781,1600,5597.19348450256,5000.0,0.2781604410370935,0.24126315786426147,305110.47463175125,350000,7.423512643823292,10.294117647058824
2006,3710,29393.385096256305,20000,0.9142809784281689,561.0155137137085,550,2189.992437388309,1500.0,0.2561723520756773,0.2849999995725,1321.424148606811,1200,6121.395400265369,5750.0,0.2158697588052433,0.20396600563105394,284459.29526123934,350000,9.677663676017689,17.5
2006,3801,44201.841460807096,33200,0.9001468219463173,791.9864445429783,730,3410.8923270201217,2583.3333333333335,0.23219332907963303,0.27378640768724666,922.235438682723,800,6958.044564594085,6583.333333333333,0.13254232997809548,0.14399999998271998,441214.43089430896,350000,9.981811081004965,10.542168674698795
2006,3802,51585.02523079584,26000,0.8508637277581995,824.029729386355,700,3590.135014610596,2000.0,0.22952611142278542,0.2849999999145,1565.933158092377,1400,13341.829390411818,10416.666666666666,0.11737019806427323,0.14054054052534695,493834.27689140505,450000,9.57320995156924,17.307692307692307
2006,3803,41604.507357026734,26000,0.8658242956804478,672.4775984598199,590,2930.168944453688,1875.0,0.22950130562700344,0.2759999996688,2152.0479548660082,1370,8888.180535966148,7500.0,0.24212468976723817,0.20416666662413194,545384.7126243047,625000,13.108789101721998,24.03846153846154
2006,3804,45734.94706886739,25700,0.8899128759686529,731.2475340073304,510,3265.094728556318,2033.3333333333333,0.2239590562601092,0.26996625385381384,1478.1567614125754,1200,13933.641975308641,8250.0,0.10608545590822338,0.1221818181764866,459726.88497523393,450000,10.051982443162778,17.509727626459146
2006,3805,162576.04695507925,98600,0.6074824289518488,1592.689901980511,1500,9515.600419672885,6250.0,0.16737671105732102,0.2258823529092872,2635.5786293406763,2000,22834.50083180358,15166.666666666666,0.11542089966205342,0.11999999999099999,794572.2765772741,1000000,4.887388342003538,10.141987829614605
2006,3806,150375.60095815265,86100,0.6243652470439972,1450.255420828448,1300,8491.771245491918,5491.666666666667,0.17078361850578047,0.23999999995885715,2504.093763853997,2000,22593.645377690755,17083.333333333332,0.11083177247380233,0.11469949311694021,789093.4659756764,875000,5.247483374615206,10.16260162601626
2006,3807,117481.45298653017,75000,0.7841294359430838,1485.9764281660046,1400,8726.179974513929,5675.0,0.17028945455010253,0.23027027019558802,2166.2443770268856,1600,16798.281811207587,10833.333333333334,0.1289563064468651,0.11999999998559999,636027.5839149219,625000,5.413855274567004,8.333333333333334
2006,3808,128948.65834153233,90000,0.6518327909382174,1585.549771654153,1500,9250.30679135382,6666.666666666667,0.17140510119471414,0.23571428568903058,1813.6196995185335,1500,16050.09866678268,11750.0,0.11299741747208102,0.12686479501342113,665848.2314494426,625000,5.163669324002446,6.944444444444445
